,SOX2_like,PAX6_like,NEUROD1_like,RBFOX3_like,SLC17A7_like,GAD1_like,GFAP_like,OLIG2_like,AIF1_like,PDGFRA_like,MKI67_like,STRESS_like,CELL_CYCLE_like,MATURATION_like
cell_00010,2.7229464,5.7364993,3.4200757,5.6207223,0.028173823,0.028173823,0.0244483,0.12984896,0.016594993,0.034290813,2.633611,0.6567018,2.633611,2.2852044
cell_00011,0.29459512,6.5312465e-06,7.958966,9.990143,0.14873424,0.9915616,0.1484572,0.1479254,0.14747414,0.14905988,0.014102785,0.85678005,0.014102785,15.638649
cell_00012,0.91342515,0.07496528,7.3578205,9.714292,0.8717609,0.13076414,0.12722084,0.12089806,0.115974374,0.13517126,0.20596915,0.7145854,0.20596915,11.501234
cell_00013,0.44657862,0.0003605224,7.8849807,9.965747,0.14646575,0.14646575,0.9713874,0.14426777,0.14305975,0.14736274,0.015946591,0.8614987,0.015946591,15.018187
cell_00014,2.036535,2.836651,4.8548985,7.5416865,0.41887242,0.062830865,0.056383654,0.04706299,0.041239474,0.072540954,2.5002632,0.790697,2.5002632,4.0990653
cell_00015,4.8353415,8.857235,1.2071455,1.8646653,0.0011538182,0.0011538182,0.0009616268,0.00072768464,0.0006024794,0.001506219,1.6951098,0.64044803,1.6951098,0.61023563
cell_00016,1.3054757,0.5137054,6.594506,9.209276,0.10917216,0.10917216,0.10322926,0.62276477,0.08639777,0.1170613,0.010995198,0.6974255,0.010995198,8.183359
cell_00017,9.296496,3.0874565,0.2680799,0.3124377,1.00626885e-05,1.00626885e-05,8.269507e-06,6.153195e-06,5.0493372e-06,1.348603e-05,0.0018507411,0.6559434,0.0018507411,0.12283107
cell_00018,0.43796423,0.00030327978,7.8903728,9.967685,0.97753656,0.14663048,0.14590706,0.14453082,0.14337556,0.14748651,0.014583453,0.8314297,0.014583453,15.062116
cell_00019,0.9591086,0.10039002,7.281969,9.670728,0.1285646,0.85709727,0.12470373,0.11787182,0.1126021,0.13339941,0.7955798,0.57503915,0.7955798,11.096375
cell_00020,0.5784262,0.0031183062,7.7832274,9.925868,0.14337364,0.14337364,0.94662285,0.13940333,0.13726445,0.14502385,0.18142389,0.8745649,0.18142389,14.22449
cell_00021,2.9060733,6.4238157,3.1058745,5.1357455,0.02178773,0.02178773,0.12523112,0.014837527,0.012579536,0.026804013,2.9668348,0.7321698,2.9668348,1.9845983
cell_00022,0.24711896,9.818633e-07,7.9735065,9.99418,0.14918214,0.14918214,0.1490024,0.9910448,0.1483627,0.1493931,0.005637927,0.7447032,0.005637927,15.765236
cell_00023,0.33703184,2.5717087e-05,7.942672,9.985248,0.14823315,0.98822093,0.14784819,0.14711082,0.14648674,0.14868633,0.005636408,0.70672053,0.005636408,15.498653
cell_00024,0.53332335,0.0016291065,7.8221607,9.941799,0.14455302,0.14455302,0.14340588,0.14124255,0.13944557,0.9727963,0.020674175,0.7217986,0.020674175,14.52047
cell_00025,5.5088277,8.187674,0.90950257,1.3419851,0.0004635324,0.0004635324,0.00038453983,0.00028936524,0.00023886331,0.00061029085,1.9215999,0.7670702,1.9215999,0.4451948
cell_00026,1.8552558,2.111915,5.2870255,8.022873,0.07407993,0.07407993,0.06725565,0.057102922,0.33720273,0.08406535,2.4093268,0.7620141,2.4093268,4.8488874
cell_00027,10.071318,2.4229238,0.22079767,0.24738261,5.5469454e-06,5.5469454e-06,4.5554298e-06,3.3869462e-06,2.778201e-06,7.44352e-06,0.35250354,0.58565885,0.35250354,0.10069222
cell_00028,6.473706,6.7834992,0.63136417,0.87183,0.00014498811,0.00014498811,0.00011977885,8.9683e-05,7.383522e-05,0.00019238831,0.4367334,0.7329761,0.4367334,0.3001556
cell_00029,0.78091484,0.027576772,7.554411,9.819534,0.13653089,0.13653089,0.13390334,0.12910776,0.83516777,0.13974088,0.24845533,0.6418506,0.24845533,12.654745
cell_00030,0.61009413,0.0047102715,7.753281,9.913125,0.14246957,0.14246957,0.14091434,0.9200446,0.13561626,0.14433436,0.2384884,0.7548121,0.2384884,14.002993
cell_00031,0.2502907,1.1311358e-06,7.972651,9.993953,0.14915578,0.14915578,0.14897029,0.9907572,0.14831023,0.1493735,0.005299338,0.71913385,0.005299338,15.757745
cell_00032,3.2596023,7.5366015,2.5809789,4.279804,0.0128235305,0.0128235305,0.01094364,0.008530129,0.0071778656,0.0160513,0.6049273,0.571872,0.6049273,1.5370206
cell_00033,2.7266338,5.750969,3.4134533,5.6107264,0.028032612,0.028032612,0.024322372,0.12915611,0.016504668,0.034126755,2.3922644,0.7938936,2.3922644,2.2785854
cell_00034,1.8343376,2.032819,5.337618,8.076279,0.07540822,0.5027215,0.06855845,0.058331832,0.051739063,0.08539614,2.2389975,0.68280536,2.2389975,4.9452186
cell_00035,5.6238766,8.037732,0.86867255,1.2715583,0.00040009816,0.00040009816,0.00033170945,0.00024942379,0.00020581101,0.00052738196,0.47285214,0.72057664,0.47285214,0.42336756
cell_00036,7.136487,5.767268,0.5034164,0.665495,7.108878e-05,7.108878e-05,5.8618425e-05,4.379187e-05,3.6011126e-05,9.466367e-05,1.3231066,0.76905715,1.3231066,0.23620176
cell_00037,1.7897696,1.8680938,5.445702,8.188328,0.078253135,0.52168757,0.07136295,0.06099705,0.054263826,0.08822487,0.7410609,0.7611487,0.7410609,5.1577477
cell_00038,4.8417163,8.8531065,1.2037733,1.8586769,0.0011434325,0.0011434325,0.0009529202,0.0007210494,0.000596965,0.0014928072,2.1398907,0.7995715,2.1398907,0.6083053
cell_00039,0.8233702,0.03907007,7.495334,9.789126,0.13478756,0.13478756,0.8791355,0.12658264,0.12239042,0.13837093,0.38247788,0.58270067,0.38247788,12.2911
cell_00040,2.0881927,3.053169,4.734608,7.39972,0.3982372,0.05973558,0.053440165,0.04440749,0.03880462,0.06929114,0.064232424,0.5441565,0.064232424,3.911065
cell_00041,0.42921123,0.00025313214,7.895698,9.969579,0.97862184,0.14679328,0.14610377,0.14479114,0.14368838,0.14760874,0.06921723,0.7676718,0.06921723,15.105697
cell_00042,0.72894734,0.017246578,7.62155,9.852722,0.13852347,0.13852347,0.13624087,0.1320415,0.8576934,0.14129467,0.29909915,0.59439397,0.29909915,13.087513
cell_00043,3.439892,7.98189,2.351505,3.8898034,0.009683997,0.009683997,0.008229315,0.006379697,0.005352103,0.01221079,1.4443606,0.54584193,1.4443606,1.3599243
cell_00044,0.42993015,0.0002569689,7.8952665,9.969425,0.97853386,0.14678007,0.14608783,0.14477003,0.143663,0.14759883,0.00049610116,0.552495,0.00049610116,15.102158
cell_00045,0.47991285,0.000674426,7.86269,9.957525,0.14578566,0.14578566,0.9659192,0.14318603,0.14176361,0.14685085,0.03226672,0.62512004,0.03226672,14.838641
cell_00046,2.547196,5.0222692,3.7498944,6.1057754,0.035508923,0.035508923,0.03103323,0.16640626,0.021386247,0.04272172,0.011056908,0.8967148,0.011056908,2.631788
cell_00047,3.787076,8.601046,1.9729631,3.2299042,0.005605372,0.005605372,0.004731367,0.0036368868,0.003036798,0.0071519557,0.90178883,0.5629041,0.90178883,1.0891222
cell_00048,0.7826455,0.027987525,7.5520763,9.818354,0.9097455,0.13646182,0.13382259,0.129007,0.12515964,0.1396868,0.49429217,0.6194146,0.49429217,12.640079
cell_00049,6.8612986,6.1847415,0.55183434,0.7426349,9.4840485e-05,9.4840485e-05,7.825889e-05,5.851379e-05,4.813857e-05,0.00012612363,0.9802001,0.86829364,0.9802001,0.26020566
cell_00050,5.3939276,8.3293085,0.9528526,1.4171703,0.00053824624,0.00053824624,0.00044681763,0.00033649808,0.0002778882,0.0007077879,0.69480383,0.8853232,0.69480383,0.46857795
cell_00051,11.651764,1.4625106,0.1546704,0.16116677,1.870706e-06,1.870706e-06,1.5348921e-06,1.1399405e-06,9.3452417e-07,2.5147926e-06,0.34944478,0.59153736,0.34944478,0.07007579
cell_00052,0.5154109,0.0012302393,7.8364215,9.947439,0.14498617,0.14498617,0.14392598,0.141923,0.1402556,0.97498184,0.055346668,0.8521811,0.055346668,14.6312275
cell_00053,0.8398796,0.044398844,7.471352,9.776475,0.893883,0.13408245,0.13105121,0.12557213,0.12124202,0.13781403,0.5144633,0.5555672,0.5144633,12.147815
cell_00054,0.71479833,0.015039403,7.638831,9.861016,0.13903834,0.13903834,0.1368473,0.13280797,0.12954164,0.9446273,0.011778882,0.80461454,0.011778882,13.202439
cell_00055,0.5283431,0.0015088675,7.826194,9.943405,0.14467546,0.14467546,0.14355282,0.14143461,0.93116033,0.14601217,0.003795031,0.50520325,0.003795031,14.551664
cell_00056,1.9140923,2.3399556,5.145375,7.870089,0.070372745,0.46915165,0.063641414,0.053723324,0.047411554,0.080317475,0.24452029,0.66264784,0.24452029,4.58924
cell_00057,1.2336063,0.39123264,6.751068,9.324467,0.7567501,0.113512516,0.10792762,0.09856764,0.09176908,0.12083211,0.57052934,0.59893405,0.57052934,8.747461
cell_00058,6.860077,6.186615,0.5520631,0.74300224,9.496416e-05,9.496416e-05,7.8361205e-05,5.8590525e-05,4.8201797e-05,0.00012628731,0.58929247,0.7816032,0.58929247,0.26031962
cell_00059,7.589657,5.1079683,0.43551132,0.5595431,4.5195564e-05,4.5195564e-05,3.723071e-05,2.7781329e-05,2.2831266e-05,6.029585e-05,0.8823387,0.50642246,0.8823387,0.2029339
cell_00060,0.8280306,0.04052266,7.488621,9.785603,0.13459004,0.8972669,0.13164069,0.12629895,0.12206766,0.1382151,0.4758042,0.6859607,0.4758042,12.250745
cell_00061,1.8230699,1.9906746,5.3649096,8.104835,0.07612566,0.5075044,0.06926386,0.058999654,0.05237015,0.086112276,2.2938695,0.7786916,2.2938695,4.9980044
cell_00062,1.2510238,0.41900682,6.7136793,9.297485,0.112472385,0.74981594,0.10679622,0.097317114,0.09045846,0.11993456,0.25903174,0.51868194,0.25903174,8.608268
cell_00063,0.5626549,0.0025069313,7.797336,9.931727,0.1438005,0.1438005,0.14250402,0.14006673,0.13804978,0.96898997,0.1501376,0.8589601,0.1501376,14.330684
cell_00064,0.94746375,0.09339389,7.3016806,9.6821995,0.8608992,0.12913488,0.12535469,0.11865106,0.113467604,0.13386036,0.100507885,0.644479,0.100507885,11.199615
cell_00065,1.3107363,0.52349186,6.58282,9.200446,0.10884973,0.10884973,0.102882616,0.09303868,0.573392,0.11677851,1.492619,0.5661063,1.492619,8.143161
cell_00066,1.28156,0.47063494,6.6472588,9.248736,0.73753506,0.11063026,0.104800954,0.09512677,0.088173844,0.118335545,0.49649176,0.5901858,0.49649176,8.368027
cell_00067,3.5576715,8.226748,2.2142262,3.6526167,0.008046781,0.008046781,0.0068210834,0.005271365,0.0044145873,0.010190368,1.0231504,0.63556236,1.0231504,1.2587866
cell_00068,10.608285,2.0431304,0.19456264,0.21244456,3.766825e-06,3.766825e-06,3.092364e-06,2.2981626e-06,1.8846806e-06,5.058325e-06,0.0029179952,0.57935005,0.0029179952,0.08849764
cell_00069,2.0918255,3.0685165,4.7262073,7.389674,0.05952012,0.05952012,0.053236004,0.044224244,0.03863713,0.46042445,0.19806713,0.7042315,0.19806713,3.898239
cell_00070,5.086388,8.658256,1.0830879,1.6451868,0.0008129566,0.0008129566,0.0006762246,0.0005105057,0.0004221345,0.001065057,1.9655968,0.7531727,1.9655968,0.54015076
cell_00071,2.3415008,4.143605,4.1704698,6.687072,0.30360687,0.04554103,0.040183287,0.032747515,0.028277578,0.053963926,1.5239874,0.67337203,1.5239874,3.1278667
cell_00072,0.39506474,0.0001185372,7.9150143,9.976261,0.14738451,0.98256344,0.14681907,0.14573993,0.14483055,0.14805199,0.035889022,0.67081285,0.035889022,15.2654085
cell_00073,4.707461,8.928635,1.2774463,1.9897289,0.0013855612,0.0013855612,0.0011560582,0.0008760062,0.0007258096,0.0018050487,0.106143154,0.8126798,0.106143154,0.65080696
cell_00074,9.503838,2.8951359,0.25415376,0.29301786,8.5407155e-06,8.5407155e-06,7.0173674e-06,5.220286e-06,4.2832685e-06,1.1450589e-05,0.15049717,0.6204067,0.15049717,0.11628881
cell_00075,3.8937438,8.73052,1.8715699,3.0504384,0.004741067,0.004741067,0.0039948267,0.0030640145,0.0025553876,0.0060679945,0.025080062,0.74910754,0.025080062,1.0207187
cell_00076,3.7081444,8.48729,2.0522711,3.3695915,0.0063473303,0.0063473303,0.0053650634,0.0041311644,0.003452811,0.008078841,0.8844305,0.8571686,0.8844305,1.1437987
cell_00077,0.84979564,0.04785093,7.456679,9.768649,0.13365176,0.13365176,0.8703454,0.124957934,0.120545685,0.13747306,0.41392764,0.58860576,0.41392764,12.061341
cell_00078,1.2927581,0.4905125,6.6226354,9.230399,0.7329942,0.10994913,0.104065925,0.094324656,0.08734068,0.11774124,1.2693554,0.74796027,1.2693554,8.28117
cell_00079,0.5216877,0.0013596452,7.8315015,9.945506,0.14483666,0.14483666,0.14374638,0.14168783,0.9331697,0.14613418,0.046297662,0.8791887,0.046297662,14.592872
cell_00080,0.8416866,0.045013577,7.4686933,9.775062,0.13400435,0.8933624,0.13096063,0.1254606,0.121115476,0.13775225,7.509084e-06,0.7119181,7.509084e-06,12.132077
cell_00081,2.361647,4.2307677,4.1276937,6.629889,0.044493906,0.044493906,0.26146752,0.03191833,0.02753865,0.052806154,0.8982427,0.8907591,0.8982427,3.0743222
cell_00082,0.4624694,0.0004899227,7.874639,9.961973,0.14615002,0.14615002,0.96884733,0.14376475,0.14245649,0.14712527,0.032002416,0.62401843,0.032002416,14.934474
cell_00083,6.153463,7.275135,0.7091743,1.0008099,0.0002095291,0.0002095291,0.00017329797,0.00012993401,0.00010705136,0.00027742746,0.150567,0.72571754,0.150567,0.33988306
cell_00084,10.957875,1.8272028,0.17975448,0.19313374,2.9578785e-06,2.9578785e-06,2.4277572e-06,1.8038029e-06,1.479077e-06,3.9736033e-06,0.23987713,0.6244143,0.23987713,0.08164243
cell_00085,8.370513,4.0860295,0.345016,0.4231304,2.1918913e-05,2.1918913e-05,1.803267e-05,1.3435159e-05,1.1032395e-05,2.9314535e-05,0.005444019,0.5014878,0.005444019,0.15930429
cell_00086,0.66728985,0.009193131,7.6937003,9.886634,0.14067866,0.14067866,0.13878597,0.90182245,0.1324106,0.14296095,0.024347095,0.8989232,0.024347095,13.577458
cell_00087,1.8915521,2.2516656,5.1995144,7.9290514,0.47858366,0.07178755,0.06501701,0.05500453,0.048609868,0.08175365,1.7648956,0.59602404,1.7648956,4.6867747
cell_00088,6.295402,7.058553,0.6731812,0.940857,0.00017761638,0.00017761638,0.00014682488,0.00011001475,9.060947e-05,0.0002354096,1.2180134,0.8892408,1.2180134,0.32142624
cell_00089,1.6172506,1.2866673,5.864862,8.596683,0.5958588,0.08937883,0.08252545,0.07188676,0.06475567,0.09900357,1.9529804,0.7612131,1.9529804,6.0799847
cell_00090,6.5251126,6.7039027,0.61996025,0.8531302,0.00013687345,0.00013687345,0.00011305606,8.463239e-05,6.9669724e-05,0.00018167828,0.030857971,0.86157346,0.030857971,0.29438677
cell_00091,0.74054056,0.019235812,7.607071,9.845693,0.92061806,0.13809271,0.13573429,0.13140291,0.12791602,0.14095986,0.42600912,0.8868811,0.42600912,12.992355
cell_00092,2.0143197,2.7446513,4.9070787,7.6021805,0.06417905,0.42786032,0.057671994,0.048233394,0.042317253,0.07394591,2.5856864,0.72713166,2.5856864,4.183226
cell_00093,2.6138434,5.298334,3.6215599,5.920037,0.21725745,0.03258862,0.02840124,0.022757474,0.019454988,0.039386503,1.5868205,0.89987653,1.5868205,2.49286
cell_00094,3.5925357,8.292294,2.1753979,3.585059,0.0076165525,0.0076165525,0.006451909,0.0049816947,0.0041699777,0.009657257,2.6349003,0.806932,2.6349003,1.2308005
cell_00095,0.9644245,0.10370585,7.2728863,9.665406,0.12830211,0.12830211,0.124404505,0.117514424,0.1122058,0.8879127,0.8399635,0.7095258,0.8399635,11.049258
cell_00096,2.8225937,6.1187544,3.2454002,5.353786,0.02454118,0.02454118,0.14145853,0.016823057,0.014293587,0.030049052,2.8616722,0.7619773,2.8616722,2.1147804
cell_00097,8.451187,3.9897158,0.33718568,0.41162223,2.0415604e-05,2.0415604e-05,1.679402e-05,1.25106535e-05,1.027252e-05,2.730981e-05,0.9549863,0.57770854,0.9549863,0.15556641
cell_00098,7.4848657,5.256655,0.45004854,0.58198816,5.0070823e-05,5.0070823e-05,4.1255465e-05,3.079225e-05,2.5309007e-05,6.6773384e-05,0.34320733,0.50441307,0.34320733,0.21001732
cell_00099,0.25597283,1.4489118e-06,7.971078,9.993531,0.14910729,0.14910729,0.14891124,0.99022865,0.1482138,0.14933746,0.00693589,0.60271573,0.00693589,15.743985
cell_00100,0.3168217,1.3819107e-05,7.950833,9.987742,0.14848402,0.98989344,0.14815296,0.14751817,0.1469802,0.14887345,0.010774121,0.67398834,0.010774121,15.568529
cell_00101,0.7305761,0.01751596,7.619533,9.8517475,0.13846344,0.92308956,0.13617022,0.13195236,0.1285509,0.14124805,0.02183313,0.59122103,0.02183313,13.074196
cell_00102,4.1430273,8.930311,1.6583704,2.6706588,0.0032188327,0.0032188327,0.0027024187,0.0020634695,0.001716736,0.0041463794,1.0542175,0.7056144,1.0542175,0.8821241
cell_00103,0.24862766,1.0505561e-06,7.9731016,9.994072,0.14916967,0.14916967,0.993248,0.1486363,0.14833786,0.14938383,0.006434207,0.76317763,0.006434207,15.761689
cell_00104,0.53254014,0.001609694,7.8227983,9.942054,0.14457238,0.96381587,0.14342912,0.1412729,0.13948168,0.1459341,0.15816489,0.76231754,0.15816489,14.525396
cell_00105,0.6820488,0.010772569,7.6771765,9.879037,0.14018379,0.9345586,0.13820001,0.13452578,0.1315384,0.14257964,0.019924285,0.8575058,0.019924285,13.46287
cell_00106,1.9886591,2.6393344,4.9676614,7.6715894,0.06574816,0.06574816,0.39450896,0.049606424,0.04358528,0.075573,2.145192,0.88652766,2.145192,4.2830067
cell_00107,4.0387707,8.86363,1.7436936,2.8229597,0.0037814998,0.0037814998,0.0031793672,0.0024319654,0.0020252657,0.004858689,1.4342889,0.856278,1.4342889,0.93676096
cell_00108,8.160805,4.344719,0.36657444,0.45507246,2.6447442e-05,2.6447442e-05,2.1764996e-05,1.6221833e-05,1.332324e-05,3.5350276e-05,0.35485184,0.74807,0.35485184,0.1696259
cell_00109,0.32448924,1.7601524e-05,7.9478235,9.986832,0.14839149,0.14839149,0.9869368,0.14736782,0.146798,0.14880446,0.006162443,0.58230567,0.006162443,15.542707
cell_00110,1.9382809,2.435896,5.087478,7.8062553,0.068862736,0.068862736,0.062178258,0.05236729,0.04614719,0.52517813,0.49606687,0.8773805,0.49606687,4.487179
cell_00111,5.341215,8.391221,0.97365373,1.4533855,0.00057692314,0.00057692314,0.00047907772,0.0003609323,0.00029812765,0.0007581985,1.521408,0.56994414,1.521408,0.4798754
cell_00112,3.5292315,8.170943,2.246502,3.7086203,0.00841541,0.00841541,0.007137698,0.0055200923,0.0046247635,0.010646409,1.2959608,0.56057096,1.2959608,1.2822549
cell_00113,1.1829702,0.31726825,6.85757,9.399492,0.77658963,0.11648845,0.11118406,0.10220191,0.0956042,0.12337902,1.115453,0.62702775,1.115453,9.160538
cell_00114,5.916917,7.627223,0.7751171,1.1118174,0.00027802875,0.00027802875,0.00023017988,0.00017278663,0.00014244614,0.00036744546,1.8560663,0.72944224,1.8560663,0.37405974
cell_00115,0.39002264,0.00010514079,7.917672,9.977156,0.14746597,0.14746597,0.97945154,0.14587104,0.14498866,0.14811298,0.029232044,0.772589,0.029232044,15.28759
cell_00116,0.57742804,0.0030763438,7.7841363,9.926249,0.9560075,0.14340112,0.14202628,0.13944595,0.13731486,0.14504476,0.072925635,0.5053171,0.072925635,14.231295
cell_00117,0.67506576,0.010000655,7.6850533,9.882671,0.14041959,0.9361306,0.13847911,0.1348816,0.13195328,0.14276144,2.556378e-05,0.8112089,2.556378e-05,13.517312
cell_00118,2.130879,3.2343674,4.636408,7.2812223,0.057223246,0.057223246,0.051065437,0.28188968,0.036867358,0.066628754,1.9116843,0.5700078,1.9116843,3.7635124
cell_00119,0.97596484,0.11117351,7.252989,9.653671,0.8515184,0.12772776,0.1237506,0.11673511,0.11134307,0.13272105,0.023069702,0.61859393,0.023069702,10.947018
cell_00120,1.16011,0.28711227,6.904516,9.431697,0.11780666,0.11780666,0.75090545,0.103839085,0.09734474,0.12449728,0.94839406,0.62883466,0.94839406,9.350856
cell_00121,0.89182997,0.064747505,7.392274,9.733553,0.13176776,0.87845176,0.12837513,0.12229776,0.11754425,0.1359744,0.6678392,0.6329784,0.6678392,11.69211
cell_00122,8.560249,3.862357,0.32698306,0.39670518,1.8564984e-05,1.8564984e-05,1.5269463e-05,1.1372981e-05,9.337535e-06,2.4841132e-05,0.5621439,0.80414706,0.5621439,0.15070489
cell_00123,2.2743108,3.8524263,4.315491,6.877645,0.3275136,0.049127042,0.043496624,0.03561788,0.030845152,0.057900928,2.7962885,0.51637775,2.7962885,3.3150961
cell_00124,10.159914,2.3559818,0.21614484,0.24112195,5.1966795e-06,5.1966795e-06,4.267494e-06,3.172622e-06,2.6022933e-06,6.9743683e-06,0.5514017,0.57860714,0.5514017,0.09852486
cell_00125,1.6635325,1.4330887,5.752649,8.491423,0.08638546,0.08638546,0.07949065,0.06887996,0.061829735,0.6409875,0.8605644,0.5089277,0.8605644,5.8164196
cell_00126,3.2074037,7.3918533,2.6520367,4.39876,0.013896097,0.013896097,0.011874894,0.009271987,0.0078096734,0.017353887,0.021251142,0.81131977,0.021251142,1.5940149
cell_00127,6.7315803,6.3843894,0.57685983,0.78297293,0.00010904676,0.00010904676,9.00144e-05,6.733274e-05,5.5406526e-05,0.0001449156,1.5191565,0.89348894,1.5191565,0.27270615
cell_00128,7.9350905,4.6363697,0.3918969,0.4930516,3.25419e-05,3.25419e-05,2.6790178e-05,1.9975783e-05,1.6410107e-05,4.3466254e-05,0.82032186,0.76381886,0.82032186,0.181807
cell_00129,1.1437683,0.2667581,6.9376187,9.4540825,0.11873861,0.79159075,0.113665655,0.10500691,0.09859122,0.12528421,0.99654,0.7360557,0.99654,9.488249
cell_00130,6.0650015,7.408375,0.73292196,1.04062,0.00023264917,0.00023264917,0.0001924884,0.00014438372,0.00011898299,0.00030783517,1.1221743,0.8632265,1.1221743,0.35213667
cell_00131,0.2965398,6.995239e-06,7.9582887,9.989946,0.14871341,0.14871341,0.14843185,0.14789146,0.98288625,0.14904435,0.011253277,0.6019816,0.011253277,15.632793
cell_00132,1.1742882,0.30558202,6.875486,9.411845,0.116991036,0.77994025,0.111736886,0.1028241,0.09626472,0.12380609,0.49320707,0.5265849,0.49320707,9.232552
cell_00133,2.9964476,6.736917,2.9617062,4.906105,0.019095547,0.019095547,0.016416237,0.012917963,0.010928564,0.02360566,2.8112478,0.70398796,2.8112478,1.8552862
cell_00134,1.1289011,0.2490961,6.9673934,9.47399,0.119578645,0.119578645,0.11459642,0.10606701,0.09972633,0.8399396,1.0153507,0.6041395,1.0153507,9.614163
cell_00135,10.953852,1.8295572,0.17991586,0.19334249,2.9659902e-06,2.9659902e-06,2.4344206e-06,1.8087586e-06,1.4831427e-06,3.9844836e-06,0.021944541,0.6804326,0.021944541,0.08171702
cell_00136,0.25941396,1.6772821e-06,7.9701,9.993267,0.14907715,0.99384767,0.14887452,0.14848502,0.14815389,0.14931504,0.0039402056,0.6825199,0.0039402056,15.735437
cell_00137,1.7431484,1.7017237,5.5590405,8.30284,0.08124674,0.541645,0.074335404,0.06385206,0.056986798,0.09116963,0.78875643,0.6275327,0.78875643,5.391022
cell_00138,0.5241202,0.0014127103,7.829572,9.944744,0.14477806,0.14477806,0.14367601,0.9439716,0.13986582,0.14608984,0.0011716776,0.69452983,0.0011716776,14.577874
cell_00139,8.619151,3.7949355,0.32164875,0.38894176,1.7644807e-05,1.7644807e-05,1.4511525e-05,1.0807484e-05,8.872829e-06,2.3613296e-05,0.09205327,0.65206075,0.09205327,0.14816706
cell_00140,1.7130464,1.5977691,5.632274,8.375214,0.08318674,0.5545783,0.07627368,0.065730914,0.05878935,0.0930605,0.057428207,0.5452237,0.057428207,5.5477796
cell_00141,1.6855277,1.5052476,5.6992016,8.440247,0.084963664,0.5664244,0.07805746,0.06747224,0.060467593,0.09478033,1.6836934,0.8466903,1.6836934,5.6954055
cell_00142,0.28184468,4.098913e-06,7.963243,9.991367,0.14886592,0.14886592,0.1486174,0.14814009,0.14773478,0.994386,0.011835335,0.7805095,0.011835335,15.675721
cell_00143,1.2189556,0.36880183,6.7822256,9.346697,0.114381105,0.114381105,0.72583395,0.099619664,0.09287522,0.12157869,0.20610762,0.51652354,0.20610762,8.865719
cell_00144,1.8057013,1.9263648,5.4070263,8.148553,0.07723403,0.07723403,0.07035607,0.40024695,0.053352516,0.08721495,1.9282361,0.5463146,1.9282361,5.08062
cell_00145,4.124744,8.920307,1.6729529,2.6967108,0.0033107344,0.0033107344,0.002780254,0.0021235426,0.0017670041,0.0042628967,2.1362126,0.5386058,2.1362126,0.8913855
cell_00146,3.185568,7.3292236,2.6824002,4.4493127,0.014368553,0.014368553,0.012285719,0.009599899,0.008089251,0.017926209,2.7760937,0.5246974,2.7760937,1.6186932
cell_00147,1.4951358,0.93800867,6.15775,8.857523,0.09724936,0.09724936,0.090621784,0.5339172,0.072853275,0.10635479,1.5127333,0.5236227,1.5127333,6.8352327
cell_00148,2.0735474,2.9914472,4.768556,7.4401407,0.060607243,0.060607243,0.054267075,0.045150924,0.2632322,0.07020972,0.041929528,0.56284493,0.041929528,3.9632938
cell_00149,11.006195,1.7991527,0.17783175,0.19064943,2.862382e-06,2.862382e-06,2.3493126e-06,1.7454638e-06,1.4312167e-06,3.8455123e-06,0.1784221,0.83914775,0.1784221,0.08075379
