,Spatial_X,Spatial_Y
cell_00056,0.5444398,0.6857975
cell_00057,0.20535718,0.62987804
cell_00058,0.8688956,0.12855019
cell_00059,0.3043098,0.20547524
cell_00060,0.490931,0.8565445
cell_00061,0.52951074,0.7904041
cell_00062,0.30764654,0.8920852
cell_00063,0.7384196,1.6247348
cell_00064,0.6920729,0.78069705
cell_00065,0.76081103,1.1272191
cell_00066,0.6059205,0.6888659
cell_00067,0.46018228,0.41016936
cell_00068,0.4489171,0.004442606
cell_00069,0.71653455,1.0690007
cell_00070,0.37703523,0.24330479
cell_00071,0.4372598,0.45161897
cell_00072,0.16367112,1.206128
cell_00073,0.67963046,0.24990591
cell_00074,0.07692475,0.074745364
cell_00075,0.99051213,0.3868127
cell_00076,0.14373758,0.41630462
cell_00077,0.3829784,1.0447278
cell_00078,0.23778063,0.6876534
cell_00079,0.29065812,1.3698283
cell_00080,0.32245326,0.9683291
cell_00081,0.71833664,0.7908404
cell_00082,0.17674927,1.1233068
cell_00083,0.26385653,0.2885148
cell_00084,0.10120609,-0.007778486
cell_00085,0.33146,0.13778898
cell_00086,0.94124174,1.2307093
cell_00087,0.38010898,0.5512339
cell_00088,0.7773383,0.18320024
cell_00089,0.46170393,0.55162555
cell_00090,0.44959968,0.20896593
cell_00091,0.823971,0.8212822
cell_00092,0.026819453,0.5899164
cell_00093,0.8648865,0.40547523
cell_00094,0.48520845,0.2971922
cell_00095,0.35112718,1.3301096
cell_00096,0.90683496,0.6984301
cell_00097,0.33985937,0.069624
cell_00098,0.9776974,0.19037916
cell_00099,0.9363565,1.5083165
cell_00100,0.2679232,1.1958265
cell_00101,0.34060273,0.9604868
cell_00102,0.8121675,0.3888017
cell_00103,0.19561008,1.3344448
cell_00104,0.73195153,1.1373194
cell_00105,0.12915115,1.0282762
cell_00106,0.20560552,0.778151
cell_00107,0.5005058,0.38584116
cell_00108,0.74588174,0.09954551
cell_00109,0.73942864,1.3374068
cell_00110,0.60892224,1.1198608
cell_00111,0.27211267,0.2911598
cell_00112,0.41537786,0.33178517
cell_00113,0.24621427,0.6924951
cell_00114,0.2770174,0.24608429
cell_00115,0.323224,1.3203466
cell_00116,0.5988477,0.86916566
cell_00117,0.20759489,1.0210124
cell_00118,0.042569518,0.8294124
cell_00119,0.69245464,0.6452541
cell_00120,0.0218064,0.9035144
cell_00121,0.97078484,0.94154894
cell_00122,0.3502855,0.10072234
cell_00123,0.006581372,0.472219
cell_00124,0.8845853,0.052710924
cell_00125,0.5998045,1.1939089
cell_00126,0.8173923,0.42692837
cell_00127,0.4350247,0.09284353
cell_00128,0.3541819,0.11896592
cell_00129,0.65518945,0.83138734
cell_00130,0.40600088,0.13644305
cell_00131,0.5562086,1.52119
cell_00132,0.27782288,0.79903793
cell_00133,0.33264542,0.41666996
cell_00134,0.08219077,1.3097008
cell_00135,0.781372,-0.00045277883
cell_00136,0.34885082,1.2404044
cell_00137,0.9749991,0.6790053
cell_00138,0.25975883,1.3142084
cell_00139,0.47505268,0.16150706
cell_00140,0.3055322,0.59297013
cell_00141,0.6939254,0.7399985
cell_00142,0.80836594,1.7198342
cell_00143,0.48701072,0.9523598
cell_00144,0.36692756,0.9874644
cell_00145,0.74475133,0.2826145
cell_00146,0.19145505,0.44509804
cell_00147,0.5994663,0.9221047
cell_00148,0.73362446,1.0130737
cell_00149,0.26926962,0.013808657
cell_00150,0.6556993,1.4738643
cell_00151,0.73522615,1.2659413
cell_00152,0.11741663,0.19014308
cell_00153,0.3239075,0.86415774
cell_00154,0.40630606,0.081698045
cell_00155,0.7759574,0.8161704
cell_00156,0.5675051,0.3802742
cell_00157,0.44956148,1.1364701
cell_00158,0.31877244,1.4204131
cell_00159,0.0040613674,1.1408926
cell_00160,0.020220092,0.1234744
cell_00161,0.24044622,1.0495565
cell_00162,0.116690606,0.2825863
cell_00163,0.119586594,0.045046214
cell_00164,0.60273963,0.817618
cell_00165,0.60545534,0.6532964
cell_00166,0.04477211,1.4416479
cell_00167,0.59393525,0.9930264
cell_00168,0.14581859,0.4504262
cell_00169,0.37722573,1.5349298
cell_00170,0.98968387,0.44147202
cell_00171,0.5220054,1.005834
cell_00172,0.034188014,0.33312276
cell_00173,0.3476582,1.7572169
cell_00174,0.67089814,0.2719379
cell_00175,0.22459789,0.11577125
cell_00176,0.9644492,0.46787256
cell_00177,0.42529368,1.8308798
cell_00178,0.021087307,1.4432806
cell_00179,0.54056615,1.3686279
cell_00180,0.6761896,0.98030454
cell_00181,0.45599118,1.2351279
cell_00182,0.92817086,0.96440667
cell_00183,0.9019322,0.3058853
cell_00184,0.13896008,1.029227
cell_00185,0.079948165,0.9497106
cell_00186,0.312309,0.65934145
cell_00187,0.60813266,0.11753313
cell_00188,0.60159534,1.08265
cell_00189,0.2716431,0.329891
cell_00190,0.9511005,1.1495825
cell_00191,0.3073317,0.21801798
cell_00192,0.80419946,0.1097152
cell_00193,0.83198017,1.0539767
cell_00194,0.09843502,0.20940192
cell_00195,0.23255292,0.2233223
cell_00196,0.21519151,0.71677375
cell_00197,0.9196513,1.6430603
cell_00198,0.35110492,0.25186336
cell_00199,0.8364713,0.389531
cell_00200,0.47801802,1.508107
cell_00201,0.45721903,1.2544118
cell_00202,0.90342134,0.59793967
cell_00203,0.4409014,0.16319026
cell_00204,0.74485195,0.11975766
cell_00205,0.4243775,0.2563925
cell_00206,0.10186974,0.17266993
cell_00207,0.053094793,0.83648676
cell_00208,0.20824018,0.21622522
cell_00209,0.72226804,0.8070367
cell_00210,0.37364972,1.3800973
cell_00211,0.45410758,0.92997015
cell_00212,0.1018764,0.36479804
cell_00213,0.6230376,0.98307955
cell_00214,0.8034482,0.7970421
cell_00215,0.62468326,0.87692285
cell_00216,0.9846141,0.22408277
cell_00217,0.016341392,0.15258162
cell_00218,0.015669826,1.5900937
cell_00219,0.5000056,0.8730437
cell_00220,0.26640806,0.34388855
cell_00221,0.6865104,0.8157642
cell_00222,0.79321015,0.86820334
cell_00223,0.10243591,1.8331889
cell_00224,0.9173382,0.2826049
cell_00225,0.029922938,1.2382435
cell_00226,0.6884039,0.053825617
cell_00227,0.38450077,1.1455551
cell_00228,0.6674392,1.298077
cell_00229,0.09763632,0.077138685
cell_00230,0.9370803,0.19453336
cell_00231,0.9374083,0.7039432
cell_00232,0.51940084,1.6558775
cell_00233,0.50958455,0.85459995
cell_00234,0.6348082,1.4360031
cell_00235,0.58006895,0.99679404
cell_00236,0.54354656,0.79077685
cell_00237,0.58919114,0.9292255
cell_00238,0.8586302,0.02401605
cell_00239,0.61106676,0.07404813
cell_00240,0.19583435,0.95404166
cell_00241,0.91391206,0.9431843
cell_00242,0.21596062,0.22195174
cell_00243,0.1651617,0.7926144
cell_00244,0.99705786,0.95185006
cell_00245,0.2134167,1.2088149
cell_00246,0.10009336,0.8157771
cell_00247,0.5620072,1.100146
cell_00248,0.82719374,1.0267164
cell_00249,0.06075072,0.5310493
cell_00250,0.49010417,0.93101907
cell_00251,0.06850234,1.5210738
cell_00252,0.42869112,0.96220845
cell_00253,0.34396014,0.21558896
cell_00254,0.13712941,0.26598322
cell_00255,0.93102103,1.001885
cell_00256,0.634887,1.368636
cell_00257,0.8430563,0.079654396
cell_00258,0.9059445,0.05330802
cell_00259,0.9301853,0.6510998
cell_00260,0.74811465,0.1452946
cell_00261,0.3069483,1.0813488
cell_00262,0.82893264,0.35675132
cell_00263,0.5201829,0.113320686
cell_00264,0.27165392,1.5142659
cell_00265,0.3857738,0.22224876
cell_00266,0.30122352,0.26922262
cell_00267,0.46620405,0.18563472
cell_00268,0.7813351,0.060325332
cell_00269,0.48486733,0.092490405
cell_00270,0.26785856,0.14717992
cell_00271,0.087403074,0.2067829
cell_00272,0.8557561,0.021426061
cell_00273,0.41736862,1.0361592
cell_00274,0.44192255,1.2741703
cell_00275,0.7637216,0.46701518
cell_00276,0.8497265,0.4501128
cell_00277,0.51114494,0.6532116
cell_00278,0.63236785,1.0985562
cell_00279,0.2391567,1.0298868
cell_00280,0.93506795,-0.005510512
cell_00281,0.5679213,0.17929526
cell_00282,0.7196049,0.2871299
cell_00283,0.11421306,0.23921008
cell_00284,0.6369209,0.70067835
cell_00285,0.36894977,0.7797711
cell_00286,0.45006296,0.08637221
cell_00287,0.68216205,0.71359646
cell_00288,0.79632753,0.8951894
cell_00289,0.34936523,0.18867408
cell_00290,0.87323684,1.041781
cell_00291,0.21899031,0.05471678
cell_00292,0.5628982,1.1407374
cell_00293,0.15126549,0.13686565
cell_00294,0.28924978,1.3083981
cell_00295,0.8954115,1.0282675
cell_00296,0.011556776,1.6698384
cell_00297,0.9156112,0.98797333
cell_00298,0.32840204,1.1200129
cell_00299,0.6957954,1.3906096
cell_00300,0.091718294,1.0990319
cell_00301,0.6412715,0.19268212
cell_00302,0.90946126,0.9590896
cell_00303,0.55520195,0.9810931
cell_00304,0.3621215,1.0247167
cell_00305,0.7935776,0.9733921
cell_00306,0.7127254,1.0742139
cell_00307,0.11769256,1.3375208
cell_00308,0.6657015,0.33773562
cell_00309,0.66465586,0.27484277
cell_00310,0.7519212,0.85045886
cell_00311,0.31630686,0.6173089
cell_00312,0.401278,0.23740327
cell_00313,0.96003807,0.7701896
cell_00314,0.57345694,0.7136706
cell_00315,0.508505,0.34870455
cell_00316,0.98684967,0.5754913
cell_00317,0.22955763,0.89477295
cell_00318,0.3979369,0.36377138
cell_00319,0.7598836,1.0846729
cell_00320,0.71310055,1.44851
cell_00321,0.9667006,0.66521496
cell_00322,0.65430033,0.41909227
cell_00323,0.31309497,0.7063095
cell_00324,0.39765197,1.0049236
cell_00325,0.089712925,1.4193275
cell_00326,0.92372024,0.9440932
cell_00327,0.12866803,0.57149595
cell_00328,0.5457037,1.1290973
cell_00329,0.4013951,0.27545983
cell_00330,0.13422361,1.0167497
cell_00331,0.29299226,0.25717935
cell_00332,0.633569,1.459558
cell_00333,0.03125149,1.6283786
cell_00334,0.96598953,0.15456091
cell_00335,0.90909564,0.8641763
cell_00336,0.08460145,0.13810833
cell_00337,0.86835355,1.110768
cell_00338,0.32857123,0.09797381
cell_00339,0.06750445,1.1770723
cell_00340,0.30611283,0.26557365
cell_00341,0.8088875,1.1774412
cell_00342,0.66583145,1.0915064
cell_00343,0.2385596,0.681195
cell_00344,0.7191765,0.8889682
cell_00345,0.70782113,1.2371371
cell_00346,0.7428614,1.1272393
cell_00347,0.5406567,0.33511326
cell_00348,0.81894565,0.64048356
cell_00349,0.6413622,0.19140178
cell_00350,0.12539922,1.0244677
cell_00351,0.810256,0.20149644
cell_00352,0.3237681,0.941322
cell_00353,0.70503473,0.72396684
cell_00354,0.6751317,0.49233314
cell_00355,0.33591253,0.7110495
cell_00356,0.16168366,0.9408711
cell_00357,0.6949581,1.4038886
cell_00358,0.84902334,1.1357542
cell_00359,0.8382313,0.888867
cell_00360,0.62650484,1.2480414
cell_00361,0.22740728,0.16781035
cell_00362,0.31620997,0.1418575
cell_00363,0.7546277,0.05511363
cell_00364,0.41085392,1.1748668
cell_00365,0.7324974,0.85245323
cell_00366,0.30945,0.9281011
cell_00367,0.0063182465,0.92432785
cell_00368,0.60349005,0.44381878
cell_00369,0.6009163,1.2443781
cell_00370,0.62755466,1.2910647
cell_00371,0.26818565,0.3438706
cell_00372,0.811071,0.44301578
cell_00373,0.48746684,0.3433676
cell_00374,0.76238793,0.16650638
cell_00375,0.61109346,0.074984856
cell_00376,0.41607082,1.2828741
cell_00377,0.6796268,0.5821388
cell_00378,0.57497734,0.6251206
cell_00379,0.51071113,1.1134715
cell_00380,0.6485605,1.0299946
cell_00381,0.085938975,1.3612496
cell_00382,0.9102611,1.0056655
cell_00383,0.33508205,0.6357156
cell_00384,0.22469297,0.9301868
cell_00385,0.77179635,1.3790077
cell_00386,0.23122188,0.90750676
cell_00387,0.9957696,1.2127049
cell_00388,0.42049253,0.06443123
cell_00389,0.29662442,1.5255579
cell_00390,0.062065072,1.1854131
cell_00391,0.041804176,0.12605175
cell_00392,0.09514056,1.2061355
cell_00393,0.005032829,1.162532
cell_00394,0.32708997,0.05086289
cell_00395,0.3104544,0.71993303
cell_00396,0.43009174,1.0973362
cell_00397,0.23292293,0.30305067
cell_00398,0.06274116,0.47740617
cell_00399,0.07116253,0.93706137
cell_00400,0.18214637,0.30548453
cell_00401,0.31658953,1.3607315
cell_00402,0.14799204,0.9764232
cell_00403,0.36511782,0.107641
cell_00404,0.9222202,1.788131
cell_00405,0.261603,1.2249922
cell_00406,0.16839932,0.30028042
cell_00407,0.66477627,0.9587903
cell_00408,0.49088103,0.11598387
cell_00409,0.047254015,1.3828213
cell_00410,0.78780735,1.3593582
cell_00411,0.715343,1.3752109
cell_00412,0.9772984,0.07292279
cell_00413,0.9383066,1.3696458
cell_00414,0.5842483,-0.048665375
cell_00415,0.68602127,0.30137423
cell_00416,0.40950683,0.16943057
cell_00417,0.8884672,1.596813
cell_00418,0.5528088,0.307596
cell_00419,0.32555133,1.5256394
cell_00420,0.009491492,1.2759068
cell_00421,0.58644974,0.014865035
cell_00422,0.5254339,-0.008150568
cell_00423,0.8118772,0.09285889
cell_00424,0.18700463,1.1903656
cell_00425,0.81540126,1.0914744
cell_00426,0.015283611,0.33412698
cell_00427,0.58731335,1.4550487
cell_00428,0.3968524,0.08311234
cell_00429,0.33152053,1.2070448
cell_00430,0.43329597,1.41799
cell_00431,0.22359149,1.00582
cell_00432,0.18342565,1.22253
cell_00433,0.8051069,1.6123875
cell_00434,0.2277583,0.05243402
cell_00435,0.736972,0.2601712
cell_00436,0.7113606,0.18849795
cell_00437,0.033400416,0.77021474
cell_00438,0.8810724,1.5747658
cell_00439,0.78935516,0.88814867
cell_00440,0.79606724,1.1090674
cell_00441,0.80919105,0.23914176
cell_00442,0.5825532,0.8785387
cell_00443,0.99338084,0.1482811
cell_00444,0.17915215,0.32918862
cell_00445,0.07233593,1.4098095
cell_00446,0.7041675,1.3774825
cell_00447,0.29393724,0.8579755
cell_00448,0.6082332,0.07366132
cell_00449,0.3917016,1.1466771
cell_00450,0.33352417,0.031430084
cell_00451,0.8932486,1.1375057
cell_00452,0.14204346,1.119994
cell_00453,0.18898566,0.17058407
cell_00454,0.66784084,0.018289939
cell_00455,0.782601,0.31225848
cell_00456,0.8322145,1.7023841
cell_00457,0.23114972,1.0044422
cell_00458,0.8821134,1.4645978
cell_00459,0.60955065,1.0377083
cell_00460,0.8232184,1.3053726
cell_00461,0.06852194,0.16485488
cell_00462,0.35689434,1.2808347
cell_00463,0.52486396,0.33394954
cell_00464,0.57695705,0.7601592
cell_00465,0.099071555,0.8231198
cell_00466,0.53865826,1.0836544
cell_00467,0.66548645,1.4270929
cell_00468,0.3615951,0.11730096
cell_00469,0.5007392,0.9995887
cell_00470,0.29256642,0.5840873
cell_00471,0.87050027,0.5932772
cell_00472,0.5992066,0.19255391
cell_00473,0.5512739,0.18399015
cell_00474,0.94435745,0.30207837
cell_00475,0.66493154,0.42979223
cell_00476,0.27982345,0.91059
cell_00477,0.6417531,1.3345264
cell_00478,0.96162343,0.8804758
cell_00479,0.023558255,0.5128727
cell_00480,0.626591,0.59494054
cell_00481,0.15683496,0.179594
cell_00482,0.81645954,0.8634754
cell_00483,0.64068455,0.41498625
cell_00484,0.9369895,-0.07178149
cell_00485,0.66957784,0.6476139
cell_00486,0.017218893,0.7767834
cell_00487,0.51035386,0.21432953
cell_00488,0.90366805,1.043285
cell_00489,0.23230301,0.78982717
cell_00490,0.082896404,1.0454233
cell_00491,0.71988785,0.83358556
cell_00492,0.5025086,1.3389989
cell_00493,0.047595263,0.3965629
cell_00494,0.27991524,1.1800523
cell_00495,0.32674864,0.7477379
cell_00496,0.66786146,0.51714414
cell_00497,0.47160023,1.1368903
cell_00498,0.48719034,0.8822861
cell_00499,0.80660367,0.7034472
cell_00500,0.2784171,0.86041343
cell_00501,0.67257273,0.9942317
cell_00502,0.36755732,1.4390196
cell_00503,0.41837004,1.2370105
cell_00504,0.5559024,0.70442146
cell_00505,0.6956468,1.0949545
cell_00506,0.94519526,0.40546834
cell_00507,0.26901117,1.4244121
cell_00508,0.10374522,0.92478484
cell_00509,0.4287919,0.15647662
cell_00510,0.546716,0.12159158
cell_00511,0.2280036,1.1034527
cell_00512,0.8904958,0.074270114
cell_00513,0.798847,0.32253692
cell_00514,0.4936639,0.43734854
cell_00515,0.45006394,0.23356402
cell_00516,0.040741257,0.3579979
cell_00517,0.53688973,0.91515326
cell_00518,0.5957471,-0.0030105063
cell_00519,0.8916318,1.1354762
cell_00520,0.50109804,1.5314224
cell_00521,0.15737742,0.9252662
cell_00522,0.1800569,0.16752237
cell_00523,0.15986742,1.073945
cell_00524,0.93853486,0.11124549
cell_00525,0.79338926,0.866262
cell_00526,0.8247661,1.247292
cell_00527,0.84043354,1.3478124
cell_00528,0.09563464,0.96339893
cell_00529,0.70217687,0.3879378
cell_00530,0.7043367,1.2904098
cell_00531,0.2248217,1.0618188
cell_00532,0.49066576,0.5395685
cell_00533,0.6624309,0.74122196
cell_00534,0.8973364,-0.051883228
cell_00535,0.11042551,0.3187621
cell_00536,0.89219314,1.0819635
cell_00537,0.92241496,0.09970843
cell_00538,0.92360985,0.21355142
cell_00539,0.004834892,1.3771998
cell_00540,0.22099878,1.5574
cell_00541,0.69124526,0.6375261
cell_00542,0.3217398,1.6580094
cell_00543,0.06108329,1.5689099
cell_00544,0.7629421,0.22162116
cell_00545,0.028592192,0.86101913
cell_00546,0.44602132,0.76192814
cell_00547,0.9475761,0.117804416
cell_00548,0.4402328,1.458249
cell_00549,0.9118873,1.1732649
cell_00550,0.40900424,0.69686127
cell_00551,0.3466861,0.15738058
cell_00552,0.107382804,0.1863159
cell_00553,0.3580909,1.1919055
cell_00554,0.33698648,0.06663386
cell_00555,0.8465512,0.29923454
cell_00556,0.9199152,0.3824581
cell_00557,0.021930085,0.74598634
cell_00558,0.09825641,1.1751579
cell_00559,0.6432285,1.0573832
cell_00560,0.48474288,0.17029291
cell_00561,0.29687864,0.27680153
cell_00562,0.25990707,1.0054624
cell_00563,0.22467458,0.74845403
cell_00564,0.5254509,1.3971438
cell_00565,0.017479936,1.355647
cell_00566,0.7388844,1.4760067
cell_00567,0.300388,-0.038638134
cell_00568,0.42683145,0.53999704
cell_00569,0.5270522,1.1806709
cell_00570,0.2113596,0.39854273
cell_00571,0.88370264,1.4885665
cell_00572,0.68209326,0.712995
cell_00573,0.87029636,0.87224126
cell_00574,0.4754506,1.623683
cell_00575,0.43246046,0.65026623
cell_00576,0.23714256,1.3467909
cell_00577,0.54484034,1.113457
cell_00578,0.59316355,1.4435358
cell_00579,0.41992337,0.44183844
cell_00580,0.14538255,0.682912
cell_00581,0.27310446,0.98048645
cell_00582,0.01425151,0.22255011
cell_00583,0.31913877,0.49397144
cell_00584,0.580759,1.589853
cell_00585,0.9557111,0.7140007
cell_00586,0.1778968,0.20843484
cell_00587,0.055464532,0.44244543
cell_00588,0.2963113,0.23066589
cell_00589,0.15679769,0.0038188463
cell_00590,0.695519,1.4585832
cell_00591,0.0057491646,1.07744
cell_00592,0.9808671,0.40243113
cell_00593,0.8556667,0.74487466
cell_00594,0.4906706,0.030821454
cell_00595,0.92094225,0.27447504
cell_00596,0.6280593,0.8572576
cell_00597,0.9937649,1.2939241
cell_00598,0.27830622,1.1651211
cell_00599,0.99690616,0.7933006
cell_00600,0.18024729,0.8402684
cell_00601,0.35341838,1.5551027
cell_00602,0.9353241,1.3265402
cell_00603,0.3705423,1.0291644
cell_00604,0.20983638,1.6826193
cell_00605,0.059487104,1.1800635
cell_00606,0.1489582,1.1958125
cell_00607,0.35522345,0.15173987
cell_00608,0.42123204,1.0536774
cell_00609,0.54245114,0.6402515
cell_00610,0.813588,0.7563518
cell_00611,0.0134148495,1.0629691
cell_00612,0.84111613,1.1501298
cell_00613,0.57724935,1.5673374
cell_00614,0.7564781,0.3839243
cell_00615,0.7569792,0.8105449
cell_00616,0.90320265,1.0787466
cell_00617,0.093380205,0.3670704
cell_00618,0.57151526,0.14258632
cell_00619,0.90902954,0.020695534
cell_00620,0.71920633,0.95367426
cell_00621,0.09658491,0.8323434
cell_00622,0.6139643,1.5765467
cell_00623,0.7998809,0.77015835
cell_00624,0.27486178,1.193393
cell_00625,0.63249326,0.46505722
cell_00626,0.8404122,1.455472
cell_00627,0.52386695,0.19904009
cell_00628,0.1941872,0.81937104
cell_00629,0.54968214,1.4897565
cell_00630,0.58800393,1.1499631
cell_00631,0.40285277,1.0064436
cell_00632,0.67961663,0.030963985
cell_00633,0.4333329,0.7732366
cell_00634,0.8774051,0.0573223
cell_00635,0.79162544,0.13657045
cell_00636,0.80477184,1.0191472
cell_00637,0.52607673,0.865333
cell_00638,0.19634782,1.5197904
cell_00639,0.7244218,1.0736698
cell_00640,0.06892135,1.0186965
cell_00641,0.51757497,1.0998421
cell_00642,0.052979082,0.10772585
cell_00643,0.52841866,0.30918998
cell_00644,0.68592215,0.9859731
cell_00645,0.41919824,1.4054041
cell_00646,0.41690317,0.03108655
cell_00647,0.12279385,0.571959
cell_00648,0.3018496,1.408433
cell_00649,0.4442737,0.054081097
cell_00650,0.86356217,0.9082781
cell_00651,0.8979799,1.766878
cell_00652,0.9535801,1.2398745
cell_00653,0.1002637,0.21939689
cell_00654,0.29621083,1.6396232
cell_00655,0.46291292,0.4297591
cell_00656,0.64174384,1.3239198
cell_00657,0.7027985,0.35790223
cell_00658,0.7860163,0.85826135
cell_00659,0.4958738,0.6548205
cell_00660,0.55658424,0.2800608
cell_00661,0.9605707,1.391661
cell_00662,0.24002828,0.2144994
cell_00663,0.80375975,0.13647248
cell_00664,0.71181804,0.39398828
cell_00665,0.14008984,0.9839328
cell_00666,0.9264917,1.4412268
cell_00667,0.85535616,1.1506765
cell_00668,0.77950466,0.32298478
cell_00669,0.12677358,1.0034348
cell_00670,0.13967054,0.21358769
cell_00671,0.68319845,0.71058637
cell_00672,0.10727002,1.8875444
cell_00673,0.113315605,0.85693
cell_00674,0.40027946,0.6154502
cell_00675,0.0053778887,0.9556927
cell_00676,0.7214834,1.5498093
cell_00677,0.54020697,1.0254905
cell_00678,0.07817415,0.2094715
cell_00679,0.54358274,0.9589696
cell_00680,0.054087874,0.1481159
cell_00681,0.07069611,0.28934324
cell_00682,0.48546618,0.0049794307
cell_00683,0.49982324,0.6600138
cell_00684,0.33899477,1.3110572
cell_00685,0.62177145,0.31337535
cell_00686,0.3873584,0.64672804
cell_00687,0.58696055,1.4457216
cell_00688,0.34978494,1.1379201
cell_00689,0.71496695,0.6814234
cell_00690,0.5792861,0.3466068
cell_00691,0.16004355,1.2771941
cell_00692,0.68626887,0.24166504
cell_00693,0.7839359,0.42600775
cell_00694,0.06587407,1.4190924
cell_00695,0.6099606,0.55922145
cell_00696,0.79042965,1.4969015
cell_00697,0.114652894,0.9232397
cell_00698,0.9016524,0.72417164
cell_00699,0.4147988,0.36284733
cell_00700,0.7378398,0.32801032
cell_00701,0.8990498,0.3879983
cell_00702,0.98963714,0.13321784
cell_00703,0.58392507,1.4332675
cell_00704,0.70427394,0.39165413
cell_00705,0.2516997,0.78443897
cell_00706,0.29004636,1.0224615
cell_00707,0.8507694,1.250321
cell_00708,0.3982439,0.56896764
cell_00709,0.82243395,0.58433497
cell_00710,0.050596815,1.4960371
cell_00711,0.21825342,0.82370675
cell_00712,0.17009409,1.5534999
cell_00713,0.5270675,1.6228579
cell_00714,0.08053055,0.8944353
cell_00715,0.34387043,0.22290108
cell_00716,0.9862451,0.9391886
cell_00717,0.7942171,0.035777807
cell_00718,0.7605914,0.69873464
cell_00719,0.1351147,1.5141507
cell_00720,0.3645591,0.62366223
cell_00721,0.68058795,1.027626
cell_00722,0.021625238,0.06240998
cell_00723,0.4339765,1.2060776
cell_00724,0.92858976,0.11268814
cell_00725,0.08233981,0.0522855
cell_00726,0.90625936,0.3238505
cell_00727,0.19452162,0.10058799
cell_00728,0.18910722,0.8227103
cell_00729,0.19543596,0.5740493
cell_00730,0.93125606,0.35529128
cell_00731,0.603745,0.018111227
cell_00732,0.7507889,0.20726886
cell_00733,0.3664076,0.49312904
cell_00734,0.87325096,0.01714787
cell_00735,0.58193713,1.0671109
cell_00736,0.5998349,0.30494425
cell_00737,0.75232106,0.3301739
cell_00738,0.7736426,0.7555301
cell_00739,0.68186355,1.1690905
cell_00740,0.11890993,0.0627999
cell_00741,0.8667266,0.14350465
cell_00742,0.26089913,1.0978687
cell_00743,0.9961942,-0.024632227
cell_00744,0.38550794,0.7340949
cell_00745,0.1199973,0.7194449
cell_00746,0.3160865,0.4570527
cell_00747,0.57353425,0.619492
cell_00748,0.39144623,1.561668
cell_00749,0.8286817,1.6366177
cell_00750,0.6822063,0.26597658
cell_00751,0.21345057,0.33906636
cell_00752,0.5388533,0.2807543
cell_00753,0.787532,1.2311027
cell_00754,0.89123374,0.72833866
cell_00755,0.39494434,0.255761
cell_00756,0.9244647,0.46237653
cell_00757,0.03596946,1.1748551
cell_00758,0.6766912,0.120978184
cell_00759,0.78198475,0.8565339
cell_00760,0.4251414,0.9280426
cell_00761,0.010974476,0.17318372
cell_00762,0.68703514,0.15052177
cell_00763,0.34256425,0.13384609
cell_00764,0.15181296,1.3759397
cell_00765,0.15710878,-0.058985066
cell_00766,0.7691641,0.27258378
cell_00767,0.18738942,-0.030196799
cell_00768,0.4840983,0.19215359
cell_00769,0.97038937,0.7476687
cell_00770,0.7588187,0.28835312
cell_00771,0.54719365,0.8179197
cell_00772,0.5282754,1.1481885
cell_00773,0.16732745,1.146216
cell_00774,0.44642356,-0.053963978
cell_00775,0.14489965,1.6914879
cell_00776,0.08358212,0.81157815
cell_00777,0.10913724,0.21723622
cell_00778,0.60661113,0.8757874
