,pseudotime,branch_gate,lineage,branch_index,batch,library_size_factor,cell_cycle_score,stress_score,spatial_x,spatial_y
cell_00030,0.7447622,0.99962765,Oligodendrocyte,3,Batch_3,1.255456,0.2384884,0.7548121,0.05163761,1.2574472
cell_00031,0.96750975,0.99999565,Oligodendrocyte,3,Batch_2,1.122253,0.005299338,0.71913385,0.3605812,1.5477365
cell_00032,0.32582536,0.38142768,NPC,-1,Batch_1,0.9713832,0.6049273,0.571872,0.014780948,0.40919363
cell_00033,0.3704597,0.60089463,Oligodendrocyte,3,Batch_1,0.95615196,2.3922644,0.7938936,0.71848476,0.7746051
cell_00034,0.46955582,0.91614735,Inhibitory_Neuron,1,Batch_2,0.9105947,2.2389975,0.68280536,0.07945097,0.7330636
cell_00035,0.18947136,0.03876978,NPC,-1,Batch_2,1.2844441,0.47285214,0.72057664,0.3382858,0.17749083
cell_00036,0.12992151,0.01210964,NPC,-1,Batch_1,0.76056874,1.3231066,0.76905715,0.78174865,0.12462973
cell_00037,0.47570494,0.9251243,Inhibitory_Neuron,1,Batch_1,1.0937088,0.7410609,0.7611487,0.74896646,0.68404585
cell_00038,0.22690935,0.078578964,NPC,-1,Batch_3,0.8515548,2.1398907,0.7995715,0.6402896,0.28706464
cell_00039,0.669814,0.998335,Astrocyte,2,Batch_1,0.74600315,0.38247788,0.58270067,0.6940206,1.0275496
cell_00040,0.4371519,0.8510726,Excitatory_Neuron,0,Batch_1,0.79827625,0.064232424,0.5441565,0.65123135,0.58601165
cell_00041,0.8326782,0.9999358,Excitatory_Neuron,0,Batch_3,0.8183378,0.06921723,0.7676718,0.64127594,1.0139781
cell_00042,0.7002651,0.9990938,Microglia,4,Batch_2,0.8927284,0.29909915,0.59439397,0.34965464,1.324101
cell_00043,0.31236663,0.3202404,NPC,-1,Batch_1,1.0562667,1.4443606,0.54584193,0.028165704,0.38784677
cell_00044,0.8322598,0.99993527,Excitatory_Neuron,0,Batch_2,0.84046084,0.00049610116,0.552495,0.44182584,1.0353571
cell_00045,0.80476433,0.9998878,Astrocyte,2,Batch_1,1.0862945,0.03226672,0.62512004,0.04545965,1.217756
cell_00046,0.38747838,0.6790845,Oligodendrocyte,3,Batch_1,1.2904869,0.011056908,0.8967148,0.4688674,0.7344982
cell_00047,0.2883281,0.22558028,NPC,-1,Batch_1,0.99166,0.90178883,0.5629041,0.46407896,0.40046915
cell_00048,0.6824955,0.99870753,Excitatory_Neuron,0,Batch_2,0.92091,0.49429217,0.6194146,0.17872153,0.82497835
cell_00049,0.13975248,0.014702149,NPC,-1,Batch_3,0.8643473,0.9802001,0.86829364,0.78426164,0.20194562
cell_00050,0.1999082,0.047343,NPC,-1,Batch_2,0.9889702,0.69480383,0.8853232,0.7042093,0.21959266
cell_00051,0.00736227,0.0010554262,NPC,-1,Batch_3,1.2986563,0.34944478,0.59153736,0.55953956,-0.082501106
cell_00052,0.78692436,0.9998397,OPC,5,Batch_2,0.6407297,0.055346668,0.8521811,0.92590857,1.4303638
cell_00053,0.66485083,0.9981616,Excitatory_Neuron,0,Batch_3,0.89872926,0.5144633,0.5555672,0.2871871,0.75060266
cell_00054,0.7051654,0.9991783,OPC,5,Batch_1,1.1720262,0.011778882,0.80461454,0.2620322,1.4720632
cell_00055,0.78072906,0.99981856,Microglia,4,Batch_1,0.71129674,0.003795031,0.50520325,0.18343581,1.4817694
cell_00056,0.45891577,0.89828527,Inhibitory_Neuron,1,Batch_1,0.87504816,0.24452029,0.66264784,0.5444398,0.6857975
cell_00057,0.5687412,0.9875662,Excitatory_Neuron,0,Batch_3,0.9265986,0.57052934,0.59893405,0.20535718,0.62987804
cell_00058,0.139797,0.014715051,NPC,-1,Batch_2,0.9330354,0.58929247,0.7816032,0.8688956,0.12855019
cell_00059,0.11453007,0.008929737,NPC,-1,Batch_3,0.9866247,0.8823387,0.50642246,0.3043098,0.20547524
cell_00060,0.66840297,0.99828744,Inhibitory_Neuron,1,Batch_2,1.0266382,0.4758042,0.6859607,0.490931,0.8565445
cell_00061,0.47109622,0.9184839,Inhibitory_Neuron,1,Batch_1,1.0690818,2.2938695,0.7786916,0.52951074,0.7904041
cell_00062,0.5652361,0.9866753,Inhibitory_Neuron,1,Batch_2,0.8376213,0.25903174,0.51868194,0.30764654,0.8920852
cell_00063,0.76499885,0.99975157,OPC,5,Batch_2,1.1760831,0.1501376,0.8589601,0.7384196,1.6247348
cell_00064,0.6347183,0.9966464,Excitatory_Neuron,0,Batch_2,1.2618423,0.100507885,0.644479,0.6920729,0.78069705
cell_00065,0.5535794,0.98323554,Microglia,4,Batch_1,0.8987963,1.492619,0.5661063,0.76081103,1.1272191
cell_00066,0.55920714,0.9849934,Excitatory_Neuron,0,Batch_1,1.1680583,0.49649176,0.5901858,0.6059205,0.6888659
cell_00067,0.3039501,0.28475457,NPC,-1,Batch_1,0.84989256,1.0231504,0.63556236,0.46018228,0.41016936
cell_00068,0.030817835,0.0016861105,NPC,-1,Batch_3,1.1904783,0.0029179952,0.57935005,0.4489171,0.004442606
cell_00069,0.4367174,0.8499677,OPC,5,Batch_1,1.0436492,0.19806713,0.7042315,0.71653455,1.0690007
cell_00070,0.21458468,0.062484983,NPC,-1,Batch_3,1.2923268,1.9655968,0.7531727,0.37703523,0.24330479
cell_00071,0.40852866,0.76324856,Excitatory_Neuron,0,Batch_2,0.7239732,1.5239874,0.67337203,0.4372598,0.45161897
cell_00072,0.8534031,0.99995756,Inhibitory_Neuron,1,Batch_1,0.75215006,0.035889022,0.67081285,0.16367112,1.206128
cell_00073,0.23393948,0.0893815,NPC,-1,Batch_1,1.1445024,0.106143154,0.8126798,0.67963046,0.24990591
cell_00074,0.05830274,0.0029179691,NPC,-1,Batch_2,1.2528899,0.15049717,0.6204067,0.07692475,0.074745364
cell_00075,0.2813839,0.20224492,NPC,-1,Batch_3,0.8243959,0.025080062,0.74910754,0.99051213,0.3868127
cell_00076,0.29359376,0.24450731,NPC,-1,Batch_2,0.9062482,0.8844305,0.8571686,0.14373758,0.41630462
cell_00077,0.6619165,0.9980507,Astrocyte,2,Batch_2,1.105889,0.41392764,0.58860576,0.3829784,1.0447278
cell_00078,0.55703217,0.9843366,Excitatory_Neuron,0,Batch_1,1.1245909,1.2693554,0.74796027,0.23778063,0.6876534
cell_00079,0.78389823,0.9998297,Microglia,4,Batch_1,0.76925236,0.046297662,0.8791887,0.29065812,1.3698283
cell_00080,0.66431355,0.99814177,Inhibitory_Neuron,1,Batch_1,0.79425925,7.509084e-06,0.7119181,0.32245326,0.9683291
cell_00081,0.40638685,0.75542104,Astrocyte,2,Batch_1,0.98962355,0.8982427,0.8907591,0.71833664,0.7908404
cell_00082,0.8140204,0.9999068,Astrocyte,2,Batch_3,1.1399089,0.032002416,0.62401843,0.17674927,1.1233068
cell_00083,0.16697292,0.02507372,NPC,-1,Batch_2,1.4142336,0.150567,0.72571754,0.26385653,0.2885148
cell_00084,0.022712072,0.0014341346,NPC,-1,Batch_1,1.2699558,0.23987713,0.6244143,0.10120609,-0.007778486
cell_00085,0.09004786,0.005491524,NPC,-1,Batch_3,0.89169884,0.005444019,0.5014878,0.33146,0.13778898
cell_00086,0.72235936,0.99941725,Oligodendrocyte,3,Batch_2,0.6759018,0.024347095,0.8989232,0.94124174,1.2307093
cell_00087,0.46187723,0.9035707,Excitatory_Neuron,0,Batch_3,1.1041563,1.7648956,0.59602404,0.38010898,0.5512339
cell_00088,0.16127178,0.022432327,NPC,-1,Batch_1,1.0717221,1.2180134,0.8892408,0.7773383,0.18320024
cell_00089,0.50104475,0.9535092,Excitatory_Neuron,0,Batch_1,1.3208089,1.9529804,0.7612131,0.46170393,0.55162555
cell_00090,0.1523121,0.018821437,NPC,-1,Batch_2,0.9320023,0.030857971,0.86157346,0.44959968,0.20896593
cell_00091,0.69632035,0.99901944,Excitatory_Neuron,0,Batch_1,0.81793064,0.42600912,0.8868811,0.823971,0.8212822
cell_00092,0.44615626,0.8724866,Inhibitory_Neuron,1,Batch_2,0.80230033,2.5856864,0.72713166,0.026819453,0.5899164
cell_00093,0.38102123,0.6503151,Excitatory_Neuron,0,Batch_2,1.2873349,1.5868205,0.89987653,0.8648865,0.40547523
cell_00094,0.3015121,0.2749287,NPC,-1,Batch_2,0.7611693,2.6349003,0.806932,0.48520845,0.2971922
cell_00095,0.6302826,0.99633646,OPC,5,Batch_1,1.4825187,0.8399635,0.7095258,0.35112718,1.3301096
cell_00096,0.36181262,0.55878985,Astrocyte,2,Batch_3,0.89166147,2.8616722,0.7619773,0.90683496,0.6984301
cell_00097,0.08764992,0.005235719,NPC,-1,Batch_3,1.056675,0.9549863,0.57770854,0.33985937,0.069624
cell_00098,0.1180059,0.009566437,NPC,-1,Batch_3,0.80108535,0.34320733,0.50441307,0.9776974,0.19037916
cell_00099,0.9618977,0.9999952,Oligodendrocyte,3,Batch_1,0.81553113,0.00693589,0.60271573,0.9363565,1.5083165
cell_00100,0.9085807,0.99998593,Inhibitory_Neuron,1,Batch_2,1.173402,0.010774121,0.67398834,0.2679232,1.1958265
cell_00101,0.69970715,0.9990836,Inhibitory_Neuron,1,Batch_2,0.913775,0.02183313,0.59122103,0.34060273,0.9604868
cell_00102,0.26586998,0.1567514,NPC,-1,Batch_2,0.93513477,1.0542175,0.7056144,0.8121675,0.3888017
cell_00103,0.96917635,0.9999958,Astrocyte,2,Batch_2,1.0846999,0.006434207,0.76317763,0.19561008,1.3344448
cell_00104,0.7787509,0.9998113,Inhibitory_Neuron,1,Batch_1,0.8572472,0.15816489,0.76231754,0.73195153,1.1373194
cell_00105,0.7168902,0.99934995,Inhibitory_Neuron,1,Batch_3,1.1382565,0.019924285,0.8575058,0.12915115,1.0282762
cell_00106,0.4493615,0.8794498,Astrocyte,2,Batch_2,1.481549,2.145192,0.88652766,0.20560552,0.778151
cell_00107,0.27224156,0.174341,NPC,-1,Batch_1,0.71442086,1.4342889,0.856278,0.5005058,0.38584116
cell_00108,0.09639096,0.0062296824,NPC,-1,Batch_3,0.9823804,0.35485184,0.74807,0.74588174,0.09954551
cell_00109,0.9026024,0.99998415,Astrocyte,2,Batch_3,1.8708615,0.006162443,0.58230567,0.73942864,1.3374068
cell_00110,0.4557763,0.89240307,OPC,5,Batch_1,0.94711375,0.49606687,0.8773805,0.60892224,1.1198608
cell_00111,0.20236337,0.049607515,NPC,-1,Batch_1,0.98986435,1.521408,0.56994414,0.27211267,0.2911598
cell_00112,0.30595663,0.29299805,NPC,-1,Batch_2,1.0824265,1.2959608,0.56057096,0.41537786,0.33178517
cell_00113,0.5792196,0.98989326,Excitatory_Neuron,0,Batch_2,0.8714301,1.115453,0.62702775,0.24621427,0.6924951
cell_00114,0.17677279,0.030338064,NPC,-1,Batch_1,1.1781725,1.8560663,0.72944224,0.2770174,0.24608429
cell_00115,0.8566143,0.99996024,Astrocyte,2,Batch_1,0.6635786,0.029232044,0.772589,0.323224,1.3203466
cell_00116,0.75851953,0.9997172,Excitatory_Neuron,0,Batch_2,1.0273527,0.072925635,0.5053171,0.5988477,0.86916566
cell_00117,0.71946293,0.99938256,Inhibitory_Neuron,1,Batch_3,0.8699298,2.556378e-05,0.8112089,0.20759489,1.0210124
cell_00118,0.43209305,0.837788,Oligodendrocyte,3,Batch_1,1.1167718,1.9116843,0.5700078,0.042569518,0.8294124
cell_00119,0.62730885,0.9961128,Excitatory_Neuron,0,Batch_2,1.4439791,0.023069702,0.61859393,0.69245464,0.6452541
cell_00120,0.584098,0.9908241,Astrocyte,2,Batch_1,0.9006485,0.94839406,0.62883466,0.0218064,0.9035144
cell_00121,0.6498466,0.9975198,Inhibitory_Neuron,1,Batch_1,0.8480577,0.6678392,0.6329784,0.97078484,0.94154894
cell_00122,0.08444432,0.004912178,NPC,-1,Batch_1,0.6062562,0.5621439,0.80414706,0.3502855,0.10072234
cell_00123,0.4158074,0.7885401,Excitatory_Neuron,0,Batch_1,1.0326084,2.7962885,0.51637775,0.006581372,0.472219
cell_00124,0.041614175,0.0020916327,NPC,-1,Batch_2,0.7875372,0.5514017,0.57860714,0.8845853,0.052710924
cell_00125,0.4939908,0.94683963,OPC,5,Batch_1,1.0876207,0.8605644,0.5089277,0.5998045,1.1939089
cell_00126,0.32986122,0.4006456,NPC,-1,Batch_1,1.1163515,0.021251142,0.81131977,0.8173923,0.42692837
cell_00127,0.14452419,0.01615059,NPC,-1,Batch_3,0.93481344,1.5191565,0.89348894,0.4350247,0.09284353
cell_00128,0.103402965,0.007160845,NPC,-1,Batch_1,1.258032,0.82032186,0.76381886,0.3541819,0.11896592
cell_00129,0.5876446,0.9914471,Inhibitory_Neuron,1,Batch_1,1.0670065,0.99654,0.7360557,0.65518945,0.83138734
cell_00130,0.17059296,0.026905758,NPC,-1,Batch_1,1.5293851,1.1221743,0.8632265,0.40600088,0.13644305
cell_00131,0.9251201,0.99998987,Microglia,4,Batch_1,0.83773106,0.011253277,0.6019816,0.5562086,1.52119
cell_00132,0.5810611,0.9902551,Inhibitory_Neuron,1,Batch_1,0.98389906,0.49320707,0.5265849,0.27782288,0.79903793
cell_00133,0.3468698,0.48435414,NPC,-1,Batch_1,1.0597881,2.8112478,0.70398796,0.33264542,0.41666996
cell_00134,0.5909155,0.9919843,OPC,5,Batch_3,1.0900878,1.0153507,0.6041395,0.08219077,1.3097008
cell_00135,0.022803871,0.0014367662,NPC,-1,Batch_2,1.0543895,0.021944541,0.6804326,0.781372,-0.00045277883
cell_00136,0.9585592,0.9999948,Inhibitory_Neuron,1,Batch_1,1.2227563,0.0039402056,0.6825199,0.34885082,1.2404044
cell_00137,0.48230344,0.9337683,Inhibitory_Neuron,1,Batch_3,1.674625,0.78875643,0.6275327,0.9749991,0.6790053
cell_00138,0.7827352,0.9998257,Oligodendrocyte,3,Batch_3,1.0207156,0.0011716776,0.69452983,0.25975883,1.3142084
cell_00139,0.08273,0.0047473977,NPC,-1,Batch_2,1.1462642,0.09205327,0.65206075,0.47505268,0.16150706
cell_00140,0.48665833,0.9389556,Inhibitory_Neuron,1,Batch_3,0.78143203,0.057428207,0.5452237,0.3055322,0.59297013
cell_00141,0.49070698,0.94343513,Inhibitory_Neuron,1,Batch_1,1.037003,1.6836934,0.8466903,0.6939254,0.7399985
cell_00142,0.93782645,0.9999922,OPC,5,Batch_3,1.1856105,0.011835335,0.7805095,0.80836594,1.7198342
cell_00143,0.57172805,0.98827875,Astrocyte,2,Batch_2,0.8075972,0.20610762,0.51652354,0.48701072,0.9523598
cell_00144,0.4734894,0.92199653,Oligodendrocyte,3,Batch_2,1.2313075,1.9282361,0.5463146,0.36692756,0.9874644
cell_00145,0.26697567,0.15969667,NPC,-1,Batch_2,0.92949396,2.1362126,0.5386058,0.74475133,0.2826145
cell_00146,0.331569,0.4088745,NPC,-1,Batch_1,1.1001157,2.7760937,0.5246974,0.19145505,0.44509804
cell_00147,0.5206724,0.9681222,Oligodendrocyte,3,Batch_1,0.9306254,1.5127333,0.5236227,0.5994663,0.9221047
cell_00148,0.43891147,0.85547805,Microglia,4,Batch_3,0.82996184,0.041929528,0.56284493,0.73362446,1.0130737
cell_00149,0.02161208,0.0014029721,NPC,-1,Batch_3,0.85927093,0.1784221,0.83914775,0.26926962,0.013808657
cell_00150,0.8262919,0.99992704,Microglia,4,Batch_2,0.83105844,0.07889014,0.83129334,0.6556993,1.4738643
cell_00151,0.8961608,0.99998194,Astrocyte,2,Batch_2,1.0808618,0.0075164405,0.8132586,0.73522615,1.2659413
cell_00152,0.14024909,0.014846721,NPC,-1,Batch_2,0.94411474,1.4421468,0.74588263,0.11741663,0.19014308
cell_00153,0.55403614,0.98338544,Inhibitory_Neuron,1,Batch_3,0.90687513,1.4181039,0.7893974,0.3239075,0.86415774
cell_00154,0.10857574,0.007935158,NPC,-1,Batch_3,1.344296,0.997295,0.7953925,0.40630606,0.081698045
cell_00155,0.6722401,0.99841374,Excitatory_Neuron,0,Batch_2,0.88402075,0.5666709,0.85572517,0.7759574,0.8161704
cell_00156,0.2812338,0.20176098,NPC,-1,Batch_1,1.0808971,2.4041169,0.7929372,0.5675051,0.3802742
cell_00157,0.65942264,0.9979512,Oligodendrocyte,3,Batch_1,1.0735219,0.28668123,0.79458374,0.44956148,1.1364701
cell_00158,0.72699463,0.9994688,Microglia,4,Batch_2,0.87212396,0.13447352,0.82163244,0.31877244,1.4204131
cell_00159,0.7686475,0.99976903,Astrocyte,2,Batch_3,1.002492,0.16946508,0.7225419,0.0040613674,1.1408926
cell_00160,0.107740946,0.007804799,NPC,-1,Batch_3,1.0478516,0.21308348,0.5852115,0.020220092,0.1234744
cell_00161,0.91601187,0.9999879,Excitatory_Neuron,0,Batch_3,1.1326771,0.0060270904,0.533817,0.24044622,1.0495565
cell_00162,0.23021398,0.08349964,NPC,-1,Batch_2,1.2716637,2.1299384,0.66761744,0.116690606,0.2825863
cell_00163,0.037412558,0.0019233745,NPC,-1,Batch_2,1.0803494,0.6269829,0.53667426,0.119586594,0.045046214
cell_00164,0.5548525,0.9836501,Inhibitory_Neuron,1,Batch_2,1.0672394,1.5179644,0.5677216,0.60273963,0.817618
cell_00165,0.3709223,0.60311127,Astrocyte,2,Batch_2,0.8783394,0.32499176,0.509536,0.60545534,0.6532964
cell_00166,0.82978976,0.999932,Microglia,4,Batch_2,1.0464884,0.06739802,0.6200825,0.04477211,1.4416479
cell_00167,0.8082515,0.9998954,Excitatory_Neuron,0,Batch_1,0.9266134,0.04863795,0.8879991,0.59393525,0.9930264
cell_00168,0.31713888,0.3413639,NPC,-1,Batch_3,0.9689441,2.8379228,0.6515725,0.14581859,0.4504262
cell_00169,0.9528994,0.9999942,Oligodendrocyte,3,Batch_3,1.029063,0.0015605281,0.59635705,0.37722573,1.5349298
cell_00170,0.29091784,0.23475687,NPC,-1,Batch_3,1.1388904,0.065446556,0.6613798,0.98968387,0.44147202
cell_00171,0.51505715,0.964468,Oligodendrocyte,3,Batch_1,0.99461716,0.026183723,0.62053543,0.5220054,1.005834
cell_00172,0.25596508,0.13230869,NPC,-1,Batch_1,1.1191747,0.23096922,0.76955074,0.034188014,0.33312276
cell_00173,0.93604356,0.9999919,OPC,5,Batch_2,0.9854676,0.0057398034,0.7537867,0.3476582,1.7572169
cell_00174,0.16460782,0.023943031,NPC,-1,Batch_1,0.94888806,2.2553968e-05,0.51093715,0.67089814,0.2719379
cell_00175,0.04491062,0.0022338605,NPC,-1,Batch_1,1.0756223,0.07957893,0.7045293,0.22459789,0.11577125
cell_00176,0.43509707,0.8457881,Excitatory_Neuron,0,Batch_2,1.0614665,1.9510052,0.5144799,0.9644492,0.46787256
cell_00177,0.99237555,0.9999974,OPC,5,Batch_2,0.6986551,0.0033332305,0.7709453,0.42529368,1.8308798
cell_00178,0.89167726,0.9999803,Oligodendrocyte,3,Batch_1,0.87484384,0.020397417,0.8743233,0.021087307,1.4432806
cell_00179,0.748608,0.9996552,Microglia,4,Batch_2,1.1395273,0.17074145,0.86299515,0.54056615,1.3686279
cell_00180,0.8907925,0.9999799,Excitatory_Neuron,0,Batch_2,1.0406951,0.013512967,0.58228487,0.6761896,0.98030454
cell_00181,0.8934466,0.999981,Astrocyte,2,Batch_2,0.83551687,0.0039970316,0.79705805,0.45599118,1.2351279
cell_00182,0.5188584,0.96698326,Oligodendrocyte,3,Batch_3,0.9299612,1.2620413,0.8172264,0.92817086,0.96440667
cell_00183,0.31592906,0.33594468,NPC,-1,Batch_3,0.81548935,1.9696337,0.845747,0.9019322,0.3058853
cell_00184,0.7720124,0.99978405,Inhibitory_Neuron,1,Batch_3,0.8018266,0.1087759,0.60383946,0.13896008,1.029227
cell_00185,0.66166127,0.99804074,Inhibitory_Neuron,1,Batch_1,0.9559389,0.11446191,0.6803339,0.079948165,0.9497106
cell_00186,0.37365773,0.6161301,Astrocyte,2,Batch_1,0.7952873,0.31562406,0.58860177,0.312309,0.65934145
cell_00187,0.09446667,0.005995893,NPC,-1,Batch_3,0.8935403,0.5224654,0.5097238,0.60813266,0.11753313
cell_00188,0.74678963,0.99964243,Astrocyte,2,Batch_2,0.9245763,0.016641036,0.76360506,0.60159534,1.08265
cell_00189,0.26246053,0.14794762,NPC,-1,Batch_1,1.228531,0.62137246,0.6725854,0.2716431,0.329891
cell_00190,0.9368132,0.999992,Excitatory_Neuron,0,Batch_1,0.77976567,0.001092754,0.59924674,0.9511005,1.1495825
cell_00191,0.24097058,0.10150724,NPC,-1,Batch_1,0.81927407,1.7303861,0.83884156,0.3073317,0.21801798
cell_00192,0.122757934,0.010510219,NPC,-1,Batch_1,1.0865484,0.07175184,0.6982722,0.80419946,0.1097152
cell_00193,0.8311127,0.9999338,Inhibitory_Neuron,1,Batch_3,0.922579,0.07356334,0.8978631,0.83198017,1.0539767
cell_00194,0.15328431,0.019183898,NPC,-1,Batch_2,1.3795074,0.6844985,0.8173431,0.09843502,0.20940192
cell_00195,0.17926832,0.031841237,NPC,-1,Batch_2,1.0436233,0.03490979,0.8476845,0.23255292,0.2233223
cell_00196,0.5993828,0.99322456,Excitatory_Neuron,0,Batch_3,1.408623,0.11323704,0.8093329,0.21519151,0.71677375
cell_00197,0.874562,0.9999722,OPC,5,Batch_2,1.3500844,0.023985507,0.54236996,0.9196513,1.6430603
cell_00198,0.19643466,0.044306464,NPC,-1,Batch_2,1.1426324,1.3233643,0.5260116,0.35110492,0.25186336
cell_00199,0.3103237,0.31141195,NPC,-1,Batch_1,0.96615785,2.7012532,0.8660315,0.8364713,0.389531
cell_00200,0.77740484,0.9998061,OPC,5,Batch_2,1.2377253,0.12896597,0.5552789,0.47801802,1.508107
cell_00201,0.97182643,0.999996,Inhibitory_Neuron,1,Batch_1,0.8815789,0.00014857047,0.65649045,0.45721903,1.2544118
cell_00202,0.5007412,0.9532393,Excitatory_Neuron,0,Batch_1,0.88855743,0.93896145,0.74396443,0.90342134,0.59793967
cell_00203,0.1438975,0.015952636,NPC,-1,Batch_3,0.9076635,1.1411802,0.58475935,0.4409014,0.16319026
cell_00204,0.013936288,0.0012035515,NPC,-1,Batch_1,0.657836,0.19755594,0.590114,0.74485195,0.11975766
cell_00205,0.22965603,0.08264961,NPC,-1,Batch_2,1.2809044,0.32880396,0.68649656,0.4243775,0.2563925
cell_00206,0.13182221,0.012572941,NPC,-1,Batch_1,0.7551119,0.13872594,0.64435804,0.10186974,0.17266993
cell_00207,0.6776587,0.99857646,Excitatory_Neuron,0,Batch_2,1.1990347,0.5192574,0.77063024,0.053094793,0.83648676
cell_00208,0.121832505,0.010319469,NPC,-1,Batch_3,1.2800488,1.2351884,0.5300305,0.20824018,0.21622522
cell_00209,0.50632995,0.9579767,Astrocyte,2,Batch_2,0.74323964,0.15107322,0.6955035,0.72226804,0.8070367
cell_00210,0.69426244,0.99897826,Microglia,4,Batch_1,1.277008,0.11982623,0.569704,0.37364972,1.3800973
cell_00211,0.5811166,0.99026585,Astrocyte,2,Batch_2,1.0153512,0.18637048,0.74269,0.45410758,0.92997015
cell_00212,0.19977565,0.04722358,NPC,-1,Batch_2,1.276949,2.0726178,0.5464853,0.1018764,0.36479804
cell_00213,0.80412453,0.9998864,Excitatory_Neuron,0,Batch_1,0.8111539,0.109010726,0.57905275,0.6230376,0.98307955
cell_00214,0.71540713,0.9993304,Excitatory_Neuron,0,Batch_2,0.94636863,0.29556373,0.8215556,0.8034482,0.7970421
cell_00215,0.738984,0.99958205,Excitatory_Neuron,0,Batch_1,1.0584768,0.11500399,0.5940668,0.62468326,0.87692285
cell_00216,0.13105775,0.012384534,NPC,-1,Batch_2,1.6664686,0.28395003,0.79482615,0.9846141,0.22408277
cell_00217,0.1237538,0.010719389,NPC,-1,Batch_2,0.87676734,0.489261,0.6092251,0.016341392,0.15258162
cell_00218,0.92756253,0.9999904,Microglia,4,Batch_1,0.97156477,0.004724709,0.594011,0.015669826,1.5900937
